Entreprise parent,Autres noms ou filiales,Pays (2 lettres),Catégorie,Activité,Remarques
ACCENTURE,[],FR,,,
AIR FRANCE,"['AIR FRANCE-KLM','AIR-FRANCE']",FR,,Transport aérien,
AIR LIQUIDE,"[""SOCIÉTÉ ANONYME A DIRECTOIRE ET CONSEIL DE SURVEILLANCE POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE""]",FR,,"Pétrochimie, Energies fossiles",
AIRBUS,['EADS'],FR,,"Armement, Transport aérien",
ALSTOM,[],FR,,Transport ferroviaire,
AMADEUS,[],FR,,,
ARCELORMITTAL,[],FR,,"Energies fossiles, Extraction minière, ""Métallurgie, sidérurgie""",
ARKEMA,[],FR,,,
ARTELIA,[],FR,,,
ARTTIC,[],FR,,,
ATOS,[],FR,,,
AXA,[],FR,,"Banques, finance, assurances",
BCG,[],FR,,,
BNP PARIBAS,['BNP'],FR,,"Banques, finance, assurances",
BOUYGUES,[],FR,,BTP,
BPCE,['NATIXIS'],FR,,"Banques, finance, assurances",
CAPGEMINI,"['ALTRAN','CAP GEMINI']",FR,,"Technologies de l’information et de la communication, Armement",
CARREFOUR,[],FR,,"Agroalimentaire, grande distribution",
CEA,['COMMISSARIAT A L’ENERGIE ATOMIQUE'],FR,,,
CHANTIERS DE L’ATLANTIQUE,[],FR,,,
CREDIT AGRICOLE,['LCL'],FR,,"Banques, finance, assurances",
DASSAULT,[],FR,,Armement,
DELOITTE,[],FR,,"Banques, finance, assurances",
DGA,['DIRECTION GENERALE DE L’ARMEMENT'],FR,,,
EDF,['ELECTRICITE DE FRANCE'],FR,,CAC 40,
EIFFAGE,[],FR,,BTP,
ENGIE,"['ENGIE','GAZ DE FRANCE', 'GDF','SUEZ']",FR,,Energies fossiles,
ERAMET,[],FR,,,
EY,[],FR,,,
FRAMATOME,[],FR,,Nucléaire,
IBM,[],US,,,
INGEROP,[],FR,,,
LVMH,"['LOUIS VUITTON','MOET HENNESSY']",FR,,"Luxe, mode, cosmétiques",
MBDA,[],FR,,Armement,
MCPHY ENERGY,[],FR,,,
MICHELIN,[],FR,,Transport automobile,
NAVAL GROUP,['NAVALGROUP'],FR,,Armement,
NOKIA,[],FI,,,
ORANGE,['FRANCE TELECOM'],FR,,"CAC 40, Technologies de l’information et de la communication",Check manuellement si on ajoute NAVAL comme filiale
ORANO,[],FR,,Nucléaire,
OREAL,['L’OREAL'],FR,,"Luxe, mode, cosmétiques",
PWC,[],FR,,"Banques, finance, assurances",
RENAULT,[],FR,,"Transport automobile, CAC 40",
SAFRAN,['ZODIAC AEROSPACE'],FR,,"Armement, CAC 40",
SAINT-GOBAIN,[],FR,,"BTP, CAC 40",
SCHNEIDER,[],FR,,,
SETEC,[],FR,,,
SLB,"['GECO', 'WESTERNGECO', 'SCHLUMBERGER', 'SLB']",FR,,"Energies fossiles, Extraction minière",
SNCF,[],FR,,Transport ferroviaire,
SOCIETE GENERALE,[],FR,,"""Banques, finance, assurances"", CAC 40",
SOLVAY,[],FR,,,
SOPRA STERIA,[],FR,,,
STMICROELECTRONICS,[],FR,,Technologies de l’information et de la communication,
SYNCHROTRON SOLEIL,[],FR,,,
TECHNIP ENERGIES,"['TECHNIP','TECHNIPFMC']",FR,,,
TEDELDYNE TECHNOLOGIES,['TEDELDYNE'],,,,
THALES,[],FR,,"Armement, CAC 40",
TOTAL,['TOTALENERGIES'],FR,,"Energies fossiles, CAC 40",
VALEO,[],,,,
VEOLIA,['SARPI'],FR,,,
VINCI,"['EUROVIA','COFIROUTE']",FR,,BTP,
VOLVO,[],SE,,,
WAVESTONE,[],FR,,Conseil,
